Country,Value
Albania,344.31
Belarus,119.08
Bosnia and Herzegovina,353.77
Kosovo,345.1
Moldova,230.43
Montenegro,156.2
North Macedonia,169.93
Serbia,1069.88
States Ex-Yugoslavia unspecified,5.62
Turkey,1189.78
Ukraine,1223.16
Algeria,144.46
Egypt,2073.52
Libya,303.31
Morocco,815.81
Tunisia,806.74
Burundi,450.79
Comoros,90.79
Djibouti,179.21
Eritrea,84.18
Ethiopia,4940.93
Kenya,2489.97
Madagascar,694.77
Malawi,1275.84
Mauritius,68.64
Mozambique,1823.26
Rwanda,1119.2
Somalia,1575.14
South Sudan,1577.26
Sudan,967.17
Tanzania,2454.88
Uganda,1945.38
Zambia,997.32
Zimbabwe,794.43
Angola,162.66
Cameroon,1165.97
Central African Republic,655.96
Chad,875.16
Congo,146.06
Democratic Republic of the Congo,2513.25
Equatorial Guinea,6.02
Gabon,116.37
Sao Tome and Principe,46.25
Botswana,85.74
Eswatini,120.41
Lesotho,153.68
Namibia,151.9
South Africa,920.91
Benin,574.37
Burkina Faso,1114.37
Cabo Verde,84.27
Côte d'Ivoire,953.84
Gambia,234.09
Ghana,1067.5
Guinea,594.42
Guinea-Bissau,153.58
Liberia,573.17
Mali,1499.8
Mauritania,447.5
Niger,1199
Nigeria,3304.81
Saint Helena,67
Senegal,997.82
Sierra Leone,507.96
Togo,296.83
Antigua and Barbuda,16.78
Cuba,749.52
Dominica,26.94
Dominican Republic,88.03
Grenada,31.64
Haiti,996.3
Jamaica,99.84
Montserrat,41.78
Saint Lucia,8.5
Saint Vincent and the Grenadines,18.15
Belize,33.78
Costa Rica,98.71
El Salvador,253.2
Guatemala,399.37
Honduras,663.67
Mexico,547.81
Nicaragua,353.76
Panama,38.57
Argentina,72.68
Bolivia,730.02
Brazil,442.69
Colombia,1772.16
Ecuador,401.78
Guyana,103.61
Paraguay,163.95
Peru,450.34
Suriname,14.17
Venezuela,149.01
Cambodia,772.62
China (People's Republic of),-705.76
Democratic People's Republic of Korea,120.51
Indonesia,961.92
Lao People's Democratic Republic,568.06
Malaysia,-35.22
Mongolia,332.69
Philippines,547.08
Thailand,-419.86
Timor-Leste,207.33
Viet Nam,1638.17
Afghanistan,3792.42
Armenia,141.06
Azerbaijan,87.17
Bangladesh,3043.56
Bhutan,105.5
Georgia,589.61
India,2461.76
Kazakhstan,79.59
Kyrgyzstan,415.73
Maldives,119.19
Myanmar,1690.01
Nepal,1451.61
Pakistan,1366.94
Sri Lanka,-255.85
Tajikistan,402.73
Turkmenistan,20.46
Uzbekistan,557.93
Iran,166.37
Iraq,2300.2
Jordan,2525.79
Lebanon,1422.4
Syrian Arab Republic,9992
West Bank and Gaza Strip,2241.11
Yemen,7985.34
Fiji,116.28
Papua New Guinea,790.05
Solomon Islands,195.53
Vanuatu,130.35
Kiribati,74.84
Marshall Islands,53.99
Micronesia,98.79
Nauru,32.02
Palau,84.53
Cook Islands,33.69
Niue,18.62
Samoa,120.69
Tokelau,27.21
Tonga,87.5
Tuvalu,20.19
Wallis and Futuna,48.07
"Developing countries, unspecified",42521.22
