Country Name,Country Code,death rate
Aruba,ABW,8.345363636
Afghanistan,AFG,7.503363636
Angola,AGO,10.217
Albania,ALB,7.180545455
Andorra,AND,3.566666667
United Arab Emirates,ARE,1.405
Argentina,ARG,7.667636364
Armenia,ARM,9.775818182
American Samoa,ASM,4.65
Antigua and Barbuda,ATG,6.163545455
Australia,AUS,6.536363636
Austria,AUT,9.309090909
Azerbaijan,AZE,5.845454545
Burundi,BDI,9.212727273
Belgium,BEL,9.727272727
Benin,BEN,9.644818182
Burkina Faso,BFA,9.621090909
Bangladesh,BGD,5.639545455
Bulgaria,BGR,14.97272727
Bahrain,BHR,2.344818182
"Bahamas, The",BHS,6.630272727
Bosnia and Herzegovina,BIH,10.08536364
Belarus,BLR,13.32727273
Belize,BLZ,4.630636364
Bermuda,BMU,7.227272727
Bolivia,BOL,7.147181818
Brazil,BRA,6.181727273
Barbados,BRB,8.614363636
Brunei Darussalam,BRN,4.039363636
Bhutan,BTN,6.339545455
Botswana,BWA,7.602090909
Canada,CAN,7.272727273
Switzerland,CHE,7.945454545
Channel Islands,CHI,7.946181818
Chile,CHL,5.814090909
China,CHN,7.115454545
Cote d'Ivoire,CIV,11.54736364
Cameroon,CMR,10.68045455
"Congo, Dem. Rep.",COD,10.76681818
"Congo, Rep.",COG,7.810818182
Colombia,COL,5.352727273
Comoros,COM,7.817545455
Cabo Verde,CPV,5.869636364
Costa Rica,CRI,4.727181818
Cuba,CUB,8.198272727
Curacao,CUW,8.572727273
Cayman Islands,CYM,3.123374927
Cyprus,CYP,6.825
Czech Republic,CZE,10.3
Germany,DEU,10.87272727
Djibouti,DJI,8.366363636
Dominica,DMA,8.247972573
Denmark,DNK,9.445454545
Dominican Republic,DOM,6.066454545
Algeria,DZA,4.687636364
Ecuador,ECU,5.085727273
"Egypt, Arab Rep.",EGY,6.067
Eritrea,ERI,8.133909091
Spain,ESP,8.609090909
Estonia,EST,11.82727273
Ethiopia,ETH,7.661545455
Finland,FIN,9.563636364
Fiji,FJI,8.088090909
France,FRA,8.709090909
Faroe Islands,FRO,7.927272727
"Micronesia, Fed. Sts.",FSM,6.835181818
Gabon,GAB,8.270181818
United Kingdom,GBR,9.045454545
Georgia,GEO,13.03245455
Ghana,GHA,7.958727273
Gibraltar,GIB,#DIV/0!
Guinea,GIN,10.039
"Gambia, The",GMB,8.603272727
Guinea-Bissau,GNB,10.881
Equatorial Guinea,GNQ,10.51936364
Greece,GRC,10.5
Grenada,GRD,9.063727273
Greenland,GRL,8.327272727
Guatemala,GTM,4.972363636
Guam,GUM,4.996909091
